"purchase_order_id","supplier_id","order_date","expected_delivery_date","total_amount","discount_amount","final_amount","status","payment_terms","transport_method","store_id"
20,5027,"2023-01-25","2023-02-02",257840.36,32733.92,225106.44,"Ordered","Cash on Delivery","Supplier Delivery",2
21,5017,"2023-01-08","2023-01-26",221330.8,24792.67,196538.13,"Shipped","Net 15","Company Truck",9
22,5029,"2023-01-16","2023-02-02",277528.93,21203.39,256325.54,"Ordered","Net 45","Third Party Logistics",1
23,5016,"2023-01-01","2023-01-15",63793.97,2498.7,61295.27,"Shipped","Net 30","Sea Freight",6
24,5012,"2023-01-10","2023-01-27",95668.6,2915.71,92752.89,"Ordered","Net 15","Supplier Delivery",9
25,5015,"2023-01-05","2023-01-20",170394.65,23615.71,146778.95,"Shipped","Net 45","Air Freight",6
26,5014,"2023-01-08","2023-01-21",101285.62,12084.61,89201.01,"Ordered","Net 15","Third Party Logistics",7
27,5016,"2023-01-10","2023-01-26",141155.5,17527.3,123628.2,"Cancelled","50% Advance","Sea Freight",7
28,5028,"2023-01-07","2023-01-21",80881.22,6351.68,74529.55,"Delivered","Net 15","Air Freight",1
29,5029,"2023-01-10","2023-02-04",186903.68,21650.85,165252.83,"Ordered","Cash on Delivery","Sea Freight",8
30,5002,"2023-02-12","2023-02-23",24578.52,980.54,23597.99,"Shipped","Net 45","Sea Freight",2
31,5024,"2023-02-17","2023-02-26",117138.01,16236.94,100901.08,"Delivered","Cash on Delivery","Air Freight",9
32,5027,"2023-02-05","2023-02-18",44480.52,392.91,44087.61,"Delivered","Net 45","Sea Freight",5
33,5002,"2023-02-06","2023-02-26",199311.95,12369.72,186942.23,"Ordered","Net 30","Company Truck",1
34,5011,"2023-02-25","2023-03-04",91374.02,6378.66,84995.36,"Cancelled","Net 30","Third Party Logistics",3
35,5024,"2023-02-26","2023-03-10",149504.56,11679.08,137825.48,"Shipped","Net 30","Sea Freight",6
36,5014,"2023-02-13","2023-03-11",246880.13,25805.4,221074.73,"Ordered","Net 15","Air Freight",3
37,5023,"2023-02-24","2023-03-09",160105.77,19049.89,141055.87,"Shipped","Cash on Delivery","Company Truck",1
38,5002,"2023-02-23","2023-03-19",185744.06,26863.95,158880.11,"Cancelled","Cash on Delivery","Company Truck",7
39,5029,"2023-02-16","2023-02-28",341989.43,20840.5,321148.93,"Shipped","Cash on Delivery","Supplier Delivery",7
40,5023,"2023-02-03","2023-02-20",76983.03,5864.02,71119.0,"Shipped","Cash on Delivery","Air Freight",6
41,5014,"2023-02-20","2023-03-19",15360.02,311.86,15048.16,"Ordered","Net 15","Supplier Delivery",3
42,5004,"2023-02-21","2023-03-08",108789.81,8595.58,100194.23,"Ordered","50% Advance","Third Party Logistics",6
43,5015,"2023-02-15","2023-03-02",478553.31,68392.11,410161.21,"Delivered","Cash on Delivery","Air Freight",2
44,5010,"2023-02-25","2023-03-14",44937.45,1784.07,43153.37,"Shipped","Cash on Delivery","Company Truck",7
45,5023,"2023-02-26","2023-03-21",347628.32,27809.16,319819.15,"Ordered","50% Advance","Air Freight",1
46,5028,"2023-02-20","2023-03-01",519571.87,50163.0,469408.87,"Ordered","Net 15","Company Truck",1
47,5017,"2023-02-17","2023-03-04",295645.98,41568.0,254077.98,"Shipped","Cash on Delivery","Air Freight",6
48,5025,"2023-02-28","2023-03-17",240101.87,35978.58,204123.29,"Delivered","Net 30","Supplier Delivery",3
49,5016,"2023-02-11","2023-03-07",323178.06,34878.28,288299.78,"Delivered","Net 45","Company Truck",6
50,5016,"2023-02-15","2023-03-10",225092.49,27175.25,197917.24,"Cancelled","Net 15","Third Party Logistics",2
51,5014,"2023-02-05","2023-03-04",168955.02,11830.38,157124.65,"Shipped","Net 45","Third Party Logistics",4
52,5010,"2023-03-16","2023-04-11",385222.02,57323.8,327898.22,"Shipped","Cash on Delivery","Sea Freight",5
53,5016,"2023-03-27","2023-04-05",208665.28,29506.36,179158.92,"Shipped","Net 15","Company Truck",1
54,5022,"2023-03-26","2023-04-19",247445.64,16414.81,231030.83,"Ordered","Net 30","Sea Freight",3
55,5027,"2023-03-19","2023-03-30",110287.8,11002.02,99285.79,"Delivered","Cash on Delivery","Supplier Delivery",6
56,5026,"2023-03-24","2023-04-10",384607.11,33482.82,351124.3,"Delivered","Net 15","Air Freight",8
57,5015,"2023-03-23","2023-04-13",34926.7,316.31,34610.38,"Ordered","Net 30","Sea Freight",8
58,5024,"2023-03-10","2023-03-24",390105.0,25317.73,364787.27,"Delivered","Net 45","Air Freight",6
59,5021,"2023-03-22","2023-03-29",182752.34,13990.46,168761.88,"Shipped","50% Advance","Sea Freight",1
60,5022,"2023-03-09","2023-03-20",69881.75,4247.46,65634.29,"Shipped","50% Advance","Company Truck",4
61,5012,"2023-03-10","2023-03-19",498341.09,65841.79,432499.3,"Delivered","Net 45","Sea Freight",4
62,5011,"2023-03-24","2023-04-18",229256.82,29079.33,200177.49,"Delivered","Net 30","Supplier Delivery",3
63,5021,"2023-03-15","2023-03-31",382436.57,56890.81,325545.76,"Ordered","Net 15","Sea Freight",9
64,5003,"2023-03-18","2023-04-11",159243.95,19583.82,139660.13,"Ordered","Net 15","Sea Freight",7
65,5008,"2023-03-14","2023-03-24",195776.78,27104.31,168672.46,"Ordered","Cash on Delivery","Company Truck",8
66,5021,"2023-04-24","2023-05-01",415233.45,22986.51,392246.94,"Delivered","Net 45","Air Freight",7
67,5004,"2023-04-22","2023-05-17",356155.44,39346.32,316809.11,"Ordered","Cash on Delivery","Company Truck",3
68,5021,"2023-04-14","2023-05-12",411188.89,45683.52,365505.37,"Delivered","Net 45","Supplier Delivery",7
69,5014,"2023-04-19","2023-05-06",72232.25,2263.85,69968.4,"Shipped","50% Advance","Supplier Delivery",2
70,5015,"2023-04-27","2023-05-08",255110.88,22247.5,232863.38,"Delivered","Net 15","Supplier Delivery",3
71,5010,"2023-04-12","2023-04-29",176749.59,14538.61,162210.98,"Shipped","Net 30","Sea Freight",3
72,5017,"2023-04-21","2023-05-09",50015.91,2719.15,47296.76,"Delivered","Net 30","Supplier Delivery",9
73,5022,"2023-04-19","2023-04-26",225376.27,27351.34,198024.92,"Ordered","Net 30","Third Party Logistics",5
74,5026,"2023-04-17","2023-05-02",264116.75,34487.68,229629.06,"Delivered","50% Advance","Supplier Delivery",6
75,5004,"2023-04-19","2023-04-29",447115.63,32048.37,415067.27,"Ordered","Net 45","Company Truck",6
76,5002,"2023-04-03","2023-04-22",48603.18,1851.5,46751.68,"Delivered","Net 15","Supplier Delivery",5
77,5013,"2023-04-26","2023-05-07",138801.1,20195.5,118605.6,"Ordered","Cash on Delivery","Air Freight",6
78,5025,"2023-04-19","2023-05-07",100328.24,10979.28,89348.95,"Delivered","Net 30","Third Party Logistics",1
79,5004,"2023-04-07","2023-04-30",161586.69,12614.36,148972.33,"Delivered","Net 15","Sea Freight",2
80,5020,"2023-05-09","2023-05-27",249846.43,23158.24,226688.19,"Cancelled","50% Advance","Third Party Logistics",9
81,5000,"2023-05-11","2023-06-07",72219.47,4884.12,67335.36,"Delivered","Cash on Delivery","Sea Freight",8
82,5008,"2023-05-05","2023-05-30",215039.03,24091.4,190947.64,"Shipped","Cash on Delivery","Sea Freight",8
83,5025,"2023-05-13","2023-05-23",69556.73,5287.56,64269.17,"Ordered","Net 30","Supplier Delivery",1
84,5003,"2023-05-14","2023-05-27",45167.1,2154.35,43012.75,"Delivered","Net 15","Supplier Delivery",3
85,5013,"2023-05-20","2023-06-11",143240.78,8773.48,134467.3,"Shipped","50% Advance","Supplier Delivery",5
86,5003,"2023-05-13","2023-05-23",113746.48,12017.78,101728.7,"Shipped","Net 30","Company Truck",1
87,5010,"2023-05-18","2023-05-29",180514.35,23937.31,156577.04,"Ordered","50% Advance","Third Party Logistics",4
88,5018,"2023-05-05","2023-06-02",399624.18,32861.48,366762.71,"Delivered","Net 30","Supplier Delivery",6
89,5008,"2023-05-09","2023-05-16",126775.96,9092.66,117683.3,"Delivered","Net 45","Air Freight",6
90,5000,"2023-05-27","2023-06-21",348157.7,35811.9,312345.8,"Ordered","50% Advance","Third Party Logistics",7
91,5004,"2023-05-19","2023-05-27",274472.63,21363.41,253109.21,"Ordered","50% Advance","Third Party Logistics",8
92,5004,"2023-05-08","2023-05-18",262692.03,28480.49,234211.54,"Cancelled","50% Advance","Company Truck",7
93,5015,"2023-05-06","2023-05-22",193812.84,16926.48,176886.36,"Shipped","Net 30","Supplier Delivery",4
94,5023,"2023-05-02","2023-05-22",201973.08,26249.35,175723.73,"Ordered","Net 30","Supplier Delivery",3
95,5006,"2023-05-10","2023-05-24",357273.61,36829.49,320444.12,"Cancelled","50% Advance","Sea Freight",8
96,5006,"2023-05-02","2023-05-29",99656.4,6892.26,92764.14,"Ordered","Cash on Delivery","Air Freight",4
97,5008,"2023-05-06","2023-05-27",93552.17,5265.69,88286.49,"Ordered","Cash on Delivery","Supplier Delivery",5
98,5021,"2023-05-07","2023-05-16",280917.27,25080.47,255836.79,"Delivered","Net 15","Company Truck",5
99,5023,"2023-05-22","2023-05-30",214652.28,21559.25,193093.03,"Delivered","Net 45","Supplier Delivery",9
100,5024,"2023-05-16","2023-06-08",5551.83,227.57,5324.26,"Delivered","50% Advance","Air Freight",9
101,5025,"2023-05-20","2023-06-14",79435.51,4959.02,74476.49,"Shipped","Net 15","Supplier Delivery",5
102,5003,"2023-06-21","2023-07-01",364159.77,51502.75,312657.02,"Shipped","Cash on Delivery","Sea Freight",1
103,5016,"2023-06-08","2023-06-21",294236.54,21960.27,272276.27,"Delivered","50% Advance","Air Freight",8
104,5016,"2023-06-02","2023-06-30",135613.62,18567.18,117046.44,"Delivered","Net 15","Air Freight",2
105,5027,"2023-06-20","2023-06-27",373229.84,32653.19,340576.65,"Delivered","50% Advance","Supplier Delivery",3
106,5016,"2023-06-06","2023-06-28",219269.47,14769.22,204500.25,"Delivered","50% Advance","Supplier Delivery",6
107,5013,"2023-06-12","2023-06-20",271486.06,38957.33,232528.73,"Delivered","Net 30","Air Freight",4
108,5010,"2023-06-17","2023-06-24",184479.52,21354.62,163124.9,"Cancelled","50% Advance","Supplier Delivery",1
109,5029,"2023-06-15","2023-06-26",121438.19,6159.81,115278.38,"Delivered","Net 45","Third Party Logistics",3
110,5008,"2023-06-04","2023-06-11",314343.34,25598.1,288745.24,"Ordered","Net 45","Air Freight",1
111,5014,"2023-06-25","2023-07-08",250406.03,36829.7,213576.33,"Shipped","50% Advance","Supplier Delivery",3
112,5024,"2023-06-23","2023-07-13",309617.15,24149.66,285467.49,"Shipped","Net 15","Company Truck",4
113,5028,"2023-06-25","2023-07-22",318494.47,27939.71,290554.76,"Shipped","Net 45","Sea Freight",8
114,5004,"2023-06-04","2023-06-14",120680.87,8327.79,112353.09,"Delivered","50% Advance","Third Party Logistics",9
115,5006,"2023-06-17","2023-07-02",309219.81,22881.86,286337.95,"Delivered","Cash on Delivery","Sea Freight",2
116,5022,"2023-06-08","2023-06-22",332627.6,17594.19,315033.41,"Ordered","Net 30","Company Truck",1
117,5008,"2023-06-08","2023-06-16",296924.29,15434.07,281490.22,"Ordered","Net 45","Air Freight",8
118,5010,"2023-06-22","2023-07-11",229063.16,14003.5,215059.66,"Ordered","Net 30","Sea Freight",9
119,5010,"2023-06-27","2023-07-25",189585.97,27831.59,161754.38,"Ordered","Net 15","Sea Freight",6
120,5016,"2023-06-04","2023-07-02",186685.31,27987.69,158697.62,"Ordered","50% Advance","Supplier Delivery",2
121,5002,"2023-06-04","2023-06-19",282025.0,16656.55,265368.45,"Shipped","Net 15","Sea Freight",7
122,5015,"2023-06-22","2023-07-17",498721.59,48270.16,450451.43,"Cancelled","50% Advance","Supplier Delivery",7
123,5006,"2023-07-11","2023-07-20",403780.83,57844.74,345936.09,"Delivered","Cash on Delivery","Sea Freight",2
124,5018,"2023-07-27","2023-08-21",74744.89,4894.93,69849.97,"Shipped","Net 15","Air Freight",1
125,5023,"2023-07-28","2023-08-20",217471.56,23237.44,194234.12,"Shipped","Net 30","Third Party Logistics",9
126,5012,"2023-07-01","2023-07-17",29770.26,919.07,28851.19,"Ordered","Net 15","Supplier Delivery",1
127,5002,"2023-07-17","2023-07-26",100116.8,7961.01,92155.79,"Delivered","Cash on Delivery","Third Party Logistics",2
128,5004,"2023-07-09","2023-08-01",233373.23,28459.71,204913.52,"Ordered","Net 15","Sea Freight",4
129,5018,"2023-07-04","2023-07-25",320499.16,35786.59,284712.57,"Delivered","Cash on Delivery","Air Freight",4
130,5003,"2023-07-08","2023-08-02",241470.42,16024.51,225445.91,"Ordered","Net 30","Sea Freight",8
131,5023,"2023-07-26","2023-08-23",184877.46,15399.42,169478.04,"Delivered","Net 45","Supplier Delivery",8
132,5018,"2023-07-21","2023-08-07",312210.53,39774.38,272436.15,"Delivered","Net 30","Company Truck",6
133,5018,"2023-07-05","2023-07-24",140861.23,17941.78,122919.45,"Shipped","Cash on Delivery","Air Freight",2
134,5015,"2023-07-03","2023-07-18",338361.86,24374.36,313987.5,"Shipped","Cash on Delivery","Sea Freight",1
135,5028,"2023-07-22","2023-08-01",76942.62,4702.47,72240.15,"Delivered","50% Advance","Supplier Delivery",8
136,5000,"2023-07-08","2023-07-31",205238.99,12542.19,192696.79,"Delivered","Net 30","Third Party Logistics",7
137,5006,"2023-07-25","2023-08-16",260150.28,27563.14,232587.15,"Ordered","Net 45","Third Party Logistics",9
138,5012,"2023-07-28","2023-08-04",7992.67,210.42,7782.25,"Delivered","Net 30","Company Truck",2
139,5023,"2023-07-06","2023-07-21",438493.79,22742.17,415751.62,"Delivered","Net 15","Supplier Delivery",4
140,5020,"2023-07-13","2023-07-28",186572.85,12201.57,174371.27,"Ordered","Net 15","Supplier Delivery",8
141,5016,"2023-07-02","2023-07-13",163732.15,12932.0,150800.15,"Ordered","Net 30","Company Truck",1
142,5025,"2023-07-07","2023-07-23",143573.17,14616.72,128956.45,"Delivered","Net 45","Company Truck",7
143,5004,"2023-07-28","2023-08-07",38174.58,218.81,37955.77,"Delivered","Net 15","Company Truck",1
144,5028,"2023-08-03","2023-08-31",126617.46,8300.54,118316.92,"Ordered","Net 15","Air Freight",7
145,5021,"2023-08-16","2023-09-09",40338.4,1987.59,38350.82,"Delivered","50% Advance","Air Freight",6
146,5012,"2023-08-02","2023-08-14",198218.87,21372.64,176846.24,"Delivered","Net 15","Air Freight",5
147,5004,"2023-08-28","2023-09-24",104377.91,8960.53,95417.37,"Ordered","Net 15","Sea Freight",1
148,5025,"2023-08-05","2023-08-15",99072.55,5155.71,93916.84,"Delivered","Net 15","Third Party Logistics",8
149,5018,"2023-08-07","2023-08-24",205837.33,12034.9,193802.43,"Shipped","Net 45","Sea Freight",9
150,5024,"2023-08-26","2023-09-11",197260.07,25478.27,171781.81,"Ordered","Cash on Delivery","Air Freight",4
151,5008,"2023-08-18","2023-08-26",278624.93,32022.69,246602.24,"Shipped","Net 45","Company Truck",8
152,5018,"2023-08-26","2023-09-16",349393.01,43599.96,305793.05,"Ordered","Cash on Delivery","Company Truck",1
153,5012,"2023-08-17","2023-08-29",210868.74,18003.94,192864.8,"Delivered","Net 15","Company Truck",5
154,5025,"2023-08-22","2023-09-02",146783.4,15329.33,131454.07,"Shipped","Net 15","Third Party Logistics",7
155,5022,"2023-08-06","2023-09-03",43841.96,1515.62,42326.34,"Ordered","Cash on Delivery","Supplier Delivery",3
156,5026,"2023-08-16","2023-08-27",152568.76,9948.58,142620.18,"Delivered","Net 45","Supplier Delivery",8
157,5023,"2023-08-21","2023-08-28",71972.42,2825.22,69147.2,"Delivered","Net 30","Third Party Logistics",1
158,5021,"2023-08-11","2023-09-08",225979.34,12125.29,213854.05,"Ordered","Net 15","Company Truck",6
159,5017,"2023-08-11","2023-08-27",177582.3,14642.88,162939.42,"Delivered","Cash on Delivery","Sea Freight",5
160,5025,"2023-09-15","2023-10-11",279677.56,14599.83,265077.73,"Delivered","Net 45","Company Truck",6
161,5010,"2023-09-18","2023-10-08",49169.26,836.61,48332.65,"Ordered","50% Advance","Sea Freight",8
162,5008,"2023-09-16","2023-10-11",39734.92,962.38,38772.55,"Delivered","50% Advance","Sea Freight",5
163,5025,"2023-09-18","2023-09-28",222673.72,30820.93,191852.79,"Delivered","Net 30","Supplier Delivery",4
164,5025,"2023-09-07","2023-09-21",111429.47,15782.69,95646.78,"Delivered","Cash on Delivery","Company Truck",6
165,5019,"2023-09-06","2023-10-01",55781.48,4146.23,51635.25,"Ordered","Net 15","Supplier Delivery",7
166,5011,"2023-09-27","2023-10-14",386809.84,51702.52,335107.32,"Shipped","Cash on Delivery","Third Party Logistics",7
167,5026,"2023-09-25","2023-10-16",314527.98,46943.2,267584.78,"Shipped","Net 15","Air Freight",4
168,5014,"2023-09-21","2023-10-18",246335.22,36296.32,210038.89,"Shipped","50% Advance","Sea Freight",6
169,5027,"2023-09-22","2023-10-08",107586.76,6865.37,100721.39,"Ordered","Net 15","Sea Freight",1
170,5015,"2023-09-13","2023-09-28",92736.43,4017.34,88719.1,"Ordered","50% Advance","Company Truck",2
171,5015,"2023-09-27","2023-10-16",232188.08,21761.82,210426.26,"Delivered","Net 45","Company Truck",9
172,5010,"2023-09-24","2023-10-04",456248.94,55370.3,400878.65,"Ordered","50% Advance","Air Freight",1
173,5014,"2023-09-12","2023-10-10",42322.94,1124.59,41198.35,"Shipped","50% Advance","Supplier Delivery",9
174,5027,"2023-09-22","2023-10-08",164080.02,16845.54,147234.47,"Delivered","Cash on Delivery","Company Truck",8
175,5013,"2023-09-03","2023-09-18",384160.75,24929.84,359230.91,"Delivered","Net 45","Supplier Delivery",4
176,5004,"2023-09-03","2023-09-11",313964.32,41656.06,272308.26,"Delivered","Cash on Delivery","Supplier Delivery",8
177,5015,"2023-09-24","2023-10-18",395333.3,35614.07,359719.23,"Cancelled","Net 45","Third Party Logistics",9
178,5012,"2023-09-26","2023-10-09",134583.99,11346.57,123237.43,"Ordered","Net 45","Sea Freight",2
179,5021,"2023-09-10","2023-10-02",60349.67,4311.27,56038.39,"Delivered","Cash on Delivery","Company Truck",1
180,5022,"2023-09-08","2023-09-28",202493.19,25698.36,176794.82,"Shipped","Cash on Delivery","Third Party Logistics",5
181,5002,"2023-09-06","2023-09-25",146112.14,13506.78,132605.36,"Shipped","Cash on Delivery","Sea Freight",2
182,5022,"2023-09-23","2023-10-06",70987.29,2602.84,68384.45,"Ordered","Cash on Delivery","Company Truck",3
183,5011,"2023-10-05","2023-10-19",99919.83,6968.72,92951.11,"Ordered","Net 45","Sea Freight",2
184,5000,"2023-10-27","2023-11-06",337143.48,19960.97,317182.51,"Cancelled","Net 30","Sea Freight",8
185,5008,"2023-10-20","2023-11-03",263474.19,19713.45,243760.74,"Delivered","Net 45","Supplier Delivery",8
186,5023,"2023-10-27","2023-11-17",267456.94,18260.09,249196.85,"Ordered","Net 30","Supplier Delivery",7
187,5021,"2023-10-10","2023-11-06",6819.6,229.42,6590.18,"Shipped","Net 45","Company Truck",7
188,5023,"2023-10-22","2023-10-29",53173.16,3821.18,49351.98,"Cancelled","Net 30","Supplier Delivery",3
189,5024,"2023-10-17","2023-11-10",270354.57,18195.39,252159.18,"Delivered","50% Advance","Air Freight",7
190,5022,"2023-10-26","2023-11-19",49748.12,2044.18,47703.94,"Ordered","Net 15","Sea Freight",5
191,5018,"2023-10-18","2023-11-11",500962.63,54628.0,446334.63,"Shipped","Cash on Delivery","Air Freight",7
192,5024,"2023-10-08","2023-10-16",468138.88,60445.13,407693.75,"Ordered","Net 30","Air Freight",4
193,5006,"2023-10-17","2023-11-08",219214.93,23048.4,196166.53,"Delivered","50% Advance","Sea Freight",9
194,5027,"2023-10-23","2023-11-19",99375.38,7221.15,92154.23,"Ordered","50% Advance","Supplier Delivery",2
195,5010,"2023-10-06","2023-10-17",139770.98,20423.16,119347.82,"Delivered","Net 45","Air Freight",9
196,5020,"2023-10-08","2023-10-23",73428.91,3642.15,69786.76,"Shipped","Net 45","Supplier Delivery",5
197,5010,"2023-11-10","2023-12-05",388122.98,54823.99,333299.0,"Delivered","Cash on Delivery","Supplier Delivery",6
198,5027,"2023-11-13","2023-11-22",270897.5,38250.64,232646.87,"Ordered","50% Advance","Third Party Logistics",9
199,5022,"2023-11-10","2023-12-01",341702.87,19326.22,322376.65,"Ordered","50% Advance","Third Party Logistics",5
200,5018,"2023-11-21","2023-12-09",140158.62,17184.75,122973.87,"Ordered","50% Advance","Supplier Delivery",3
201,5003,"2023-11-10","2023-11-20",397704.21,34949.61,362754.6,"Delivered","Net 45","Third Party Logistics",8
202,5021,"2023-11-28","2023-12-12",99706.88,4321.35,95385.53,"Shipped","Net 15","Air Freight",4
203,5000,"2023-11-17","2023-12-04",202322.18,28594.32,173727.86,"Delivered","Net 15","Company Truck",4
204,5015,"2023-11-13","2023-11-22",26319.53,70.27,26249.27,"Delivered","Net 45","Supplier Delivery",5
205,5018,"2023-11-22","2023-12-01",435662.45,44295.64,391366.81,"Delivered","Cash on Delivery","Sea Freight",7
206,5027,"2023-11-23","2023-12-19",53327.26,1856.64,51470.63,"Delivered","Net 30","Company Truck",1
207,5023,"2023-11-16","2023-12-02",168137.17,23437.96,144699.21,"Ordered","50% Advance","Supplier Delivery",2
208,5000,"2023-11-23","2023-12-07",62817.01,3497.07,59319.95,"Ordered","Net 15","Third Party Logistics",7
209,5023,"2023-11-23","2023-12-12",147033.32,11157.46,135875.86,"Delivered","Cash on Delivery","Air Freight",7
210,5024,"2023-11-04","2023-11-21",357933.35,48541.54,309391.81,"Ordered","50% Advance","Air Freight",2
211,5012,"2023-12-02","2023-12-12",318431.42,44378.19,274053.23,"Delivered","Net 15","Sea Freight",6
212,5000,"2023-12-14","2024-01-01",363359.83,28562.79,334797.04,"Shipped","Cash on Delivery","Sea Freight",8
213,5027,"2023-12-07","2023-12-17",183818.37,17784.45,166033.92,"Shipped","Net 15","Sea Freight",3
214,5026,"2023-12-21","2024-01-06",367159.11,32315.89,334843.22,"Shipped","Net 15","Air Freight",6
215,5021,"2023-12-18","2023-12-30",285439.12,30841.09,254598.03,"Shipped","50% Advance","Supplier Delivery",3
216,5029,"2023-12-24","2024-01-13",215771.09,16310.19,199460.91,"Delivered","Cash on Delivery","Air Freight",8
217,5017,"2023-12-09","2023-12-27",256405.29,36362.94,220042.35,"Delivered","50% Advance","Third Party Logistics",7
218,5016,"2023-12-15","2023-12-24",355642.2,35078.87,320563.33,"Delivered","Cash on Delivery","Supplier Delivery",9
219,5002,"2023-12-04","2023-12-20",165391.83,22617.16,142774.67,"Ordered","Net 45","Air Freight",4
220,5025,"2023-12-26","2024-01-19",174948.37,25078.19,149870.18,"Shipped","Cash on Delivery","Supplier Delivery",4
221,5026,"2023-12-12","2024-01-07",575538.6,42774.04,532764.56,"Shipped","50% Advance","Air Freight",3
222,5014,"2023-12-15","2023-12-25",336139.68,37397.67,298742.01,"Delivered","Cash on Delivery","Supplier Delivery",3
223,5021,"2023-12-08","2024-01-04",86172.89,4780.46,81392.43,"Shipped","50% Advance","Sea Freight",7
224,5025,"2023-12-27","2024-01-11",336376.74,42164.9,294211.84,"Delivered","50% Advance","Company Truck",6
225,5026,"2023-12-25","2024-01-11",216939.92,28002.35,188937.57,"Delivered","Net 45","Third Party Logistics",2
226,5006,"2023-12-02","2023-12-09",273543.47,29035.07,244508.4,"Ordered","Cash on Delivery","Supplier Delivery",2
227,5029,"2023-12-26","2024-01-20",167849.49,18264.89,149584.6,"Ordered","Net 30","Sea Freight",2
228,5020,"2023-12-10","2023-12-23",145806.9,15859.8,129947.11,"Delivered","Net 45","Supplier Delivery",7
229,5002,"2023-12-09","2023-12-18",11456.17,361.25,11094.93,"Delivered","50% Advance","Company Truck",7
230,5024,"2023-12-22","2023-12-30",164316.6,12017.47,152299.13,"Delivered","Net 30","Third Party Logistics",9
231,5004,"2023-12-26","2024-01-13",134514.42,14050.21,120464.21,"Ordered","Cash on Delivery","Company Truck",7
232,5015,"2023-12-14","2023-12-21",205222.95,23139.96,182082.99,"Shipped","50% Advance","Supplier Delivery",3
233,5020,"2023-12-17","2024-01-12",230958.06,23673.47,207284.59,"Shipped","50% Advance","Third Party Logistics",5
234,5006,"2023-12-13","2024-01-06",222753.29,24538.68,198214.61,"Delivered","Net 45","Third Party Logistics",9
235,5017,"2023-12-04","2023-12-29",318472.78,35895.84,282576.93,"Delivered","Net 15","Air Freight",3
