"utility_id","utility_type","amount","month","year","payment_date","store_id","invoice_number","paid_via"
31,"Maintenance",40698.0,4,2021,"2021-04-05",3,"INV-MAI-2021-04-2618","Cash"
32,"Security Services",65034.0,4,2021,"2021-04-13",4,"INV-SEC-2021-04-1634","Cheque"
33,"Electricity",56174.0,5,2021,"2021-05-12",7,"INV-ELE-2021-05-8684","Cheque"
34,"Water",9263.0,5,2021,"2021-05-07",1,"INV-WAT-2021-05-5879","Cheque"
35,"Gas",13337.0,5,2021,"2021-05-06",6,"INV-GAS-2021-05-8661","Cash"
36,"Internet",8335.0,5,2021,"2021-05-14",4,"INV-INT-2021-05-8364","Cheque"
37,"Telephone",10701.0,5,2021,"2021-05-05",3,"INV-TEL-2021-05-7709","Bank Transfer"
38,"Rent",259494.0,5,2021,"2021-05-10",7,"INV-REN-2021-05-4754","Bank Transfer"
39,"Maintenance",42613.0,5,2021,"2021-05-06",2,"INV-MAI-2021-05-5110","Cheque"
40,"Security Services",61381.0,5,2021,"2021-05-12",9,"INV-SEC-2021-05-7015","Cheque"
41,"Electricity",97769.76,6,2021,"2021-06-09",4,"INV-ELE-2021-06-5168","Cheque"
42,"Water",17767.0,6,2021,"2021-06-05",7,"INV-WAT-2021-06-7029","Cheque"
43,"Gas",32965.0,6,2021,"2021-06-15",3,"INV-GAS-2021-06-2177","Bank Transfer"
44,"Internet",23332.0,6,2021,"2021-06-13",1,"INV-INT-2021-06-9888","Bank Transfer"
45,"Telephone",13702.0,6,2021,"2021-06-09",3,"INV-TEL-2021-06-6433","Cash"
46,"Rent",140184.0,6,2021,"2021-06-06",5,"INV-REN-2021-06-6514","Cheque"
47,"Maintenance",43194.0,6,2021,"2021-06-08",9,"INV-MAI-2021-06-1216","Bank Transfer"
48,"Security Services",61422.0,6,2021,"2021-06-07",5,"INV-SEC-2021-06-6077","Bank Transfer"
49,"Electricity",35395.87,7,2021,"2021-07-06",5,"INV-ELE-2021-07-5987","Cash"
50,"Water",17327.0,7,2021,"2021-07-05",7,"INV-WAT-2021-07-3811","Cheque"
51,"Gas",23336.0,7,2021,"2021-07-08",2,"INV-GAS-2021-07-5403","Cash"
52,"Internet",17718.0,7,2021,"2021-07-06",7,"INV-INT-2021-07-6124","Bank Transfer"
53,"Telephone",5405.0,7,2021,"2021-07-15",6,"INV-TEL-2021-07-7136","Cheque"
54,"Rent",66768.0,7,2021,"2021-07-14",3,"INV-REN-2021-07-6008","Cash"
55,"Maintenance",39730.0,7,2021,"2021-07-07",1,"INV-MAI-2021-07-7399","Cash"
56,"Security Services",20751.0,7,2021,"2021-07-09",2,"INV-SEC-2021-07-1360","Bank Transfer"
57,"Electricity",84810.22,8,2021,"2021-08-09",3,"INV-ELE-2021-08-6807","Cash"
58,"Water",6465.0,8,2021,"2021-08-09",1,"INV-WAT-2021-08-7163","Bank Transfer"
59,"Gas",24319.0,8,2021,"2021-08-09",7,"INV-GAS-2021-08-6104","Cash"
60,"Internet",11343.0,8,2021,"2021-08-08",3,"INV-INT-2021-08-1276","Bank Transfer"
61,"Telephone",7843.0,8,2021,"2021-08-15",8,"INV-TEL-2021-08-4539","Cash"
62,"Rent",240658.0,8,2021,"2021-08-14",9,"INV-REN-2021-08-8773","Cheque"
63,"Maintenance",17062.0,8,2021,"2021-08-07",4,"INV-MAI-2021-08-7399","Cheque"
64,"Security Services",72714.0,8,2021,"2021-08-15",9,"INV-SEC-2021-08-4936","Cheque"
65,"Electricity",70596.0,9,2021,"2021-09-06",7,"INV-ELE-2021-09-2139","Cash"
66,"Water",10892.0,9,2021,"2021-09-13",5,"INV-WAT-2021-09-7357","Cash"
67,"Gas",13172.0,9,2021,"2021-09-09",9,"INV-GAS-2021-09-4494","Bank Transfer"
68,"Internet",21825.0,9,2021,"2021-09-15",2,"INV-INT-2021-09-5615","Cheque"
69,"Telephone",6888.0,9,2021,"2021-09-12",6,"INV-TEL-2021-09-6890","Bank Transfer"
70,"Rent",119671.0,9,2021,"2021-09-15",4,"INV-REN-2021-09-6360","Bank Transfer"
71,"Maintenance",32308.0,9,2021,"2021-09-11",1,"INV-MAI-2021-09-6455","Cheque"
72,"Security Services",23804.0,9,2021,"2021-09-10",9,"INV-SEC-2021-09-3368","Cheque"
73,"Electricity",38538.0,10,2021,"2021-10-15",7,"INV-ELE-2021-10-8360","Bank Transfer"
74,"Water",10924.0,10,2021,"2021-10-11",2,"INV-WAT-2021-10-3175","Cash"
75,"Gas",25360.0,10,2021,"2021-10-07",8,"INV-GAS-2021-10-8770","Cash"
76,"Internet",11745.0,10,2021,"2021-10-11",2,"INV-INT-2021-10-1979","Cash"
77,"Telephone",14538.0,10,2021,"2021-10-10",4,"INV-TEL-2021-10-8955","Cheque"
78,"Rent",158494.0,10,2021,"2021-10-13",3,"INV-REN-2021-10-7971","Cheque"
79,"Maintenance",13745.0,10,2021,"2021-10-05",6,"INV-MAI-2021-10-1404","Bank Transfer"
80,"Security Services",58339.0,10,2021,"2021-10-15",4,"INV-SEC-2021-10-3897","Cheque"
81,"Electricity",51647.0,11,2021,"2021-11-08",8,"INV-ELE-2021-11-7133","Bank Transfer"
82,"Water",6341.0,11,2021,"2021-11-06",2,"INV-WAT-2021-11-9555","Bank Transfer"
83,"Gas",37805.0,11,2021,"2021-11-12",3,"INV-GAS-2021-11-1035","Bank Transfer"
84,"Internet",8972.0,11,2021,"2021-11-07",2,"INV-INT-2021-11-9300","Cash"
85,"Telephone",12219.0,11,2021,"2021-11-15",6,"INV-TEL-2021-11-8923","Bank Transfer"
86,"Rent",188548.0,11,2021,"2021-11-13",5,"INV-REN-2021-11-4104","Cheque"
87,"Maintenance",26420.0,11,2021,"2021-11-13",8,"INV-MAI-2021-11-4132","Cheque"
88,"Security Services",43381.0,11,2021,"2021-11-10",4,"INV-SEC-2021-11-1924","Bank Transfer"
89,"Electricity",19988.0,12,2021,"2021-12-05",2,"INV-ELE-2021-12-5205","Cheque"
90,"Water",14859.0,12,2021,"2021-12-06",8,"INV-WAT-2021-12-7432","Cash"
91,"Gas",40231.28,12,2021,"2021-12-11",5,"INV-GAS-2021-12-8943","Bank Transfer"
92,"Internet",17756.0,12,2021,"2021-12-07",2,"INV-INT-2021-12-2701","Bank Transfer"
93,"Telephone",13609.0,12,2021,"2021-12-13",1,"INV-TEL-2021-12-8199","Bank Transfer"
94,"Rent",278933.0,12,2021,"2021-12-09",1,"INV-REN-2021-12-9272","Cheque"
95,"Maintenance",31708.0,12,2021,"2021-12-13",1,"INV-MAI-2021-12-8999","Cheque"
96,"Security Services",67457.0,12,2021,"2021-12-12",6,"INV-SEC-2021-12-7875","Bank Transfer"
