"purchase_order_id","supplier_id","order_date","expected_delivery_date","total_amount","discount_amount","final_amount","status","payment_terms","transport_method","store_id"
92,5025,"2021-05-27","2021-06-11",172388.9,18472.05,153916.85,"Delivered","Net 15","Company Truck",4
93,5019,"2021-05-17","2021-05-25",47137.09,499.69,46637.39,"Shipped","50% Advance","Air Freight",7
94,5006,"2021-05-05","2021-05-15",149700.12,20654.19,129045.92,"Delivered","Net 30","Company Truck",5
95,5005,"2021-05-04","2021-05-16",164579.3,12383.57,152195.73,"Delivered","Net 30","Company Truck",2
96,5002,"2021-05-12","2021-05-19",199527.32,17413.93,182113.39,"Ordered","Net 45","Air Freight",3
97,5010,"2021-05-11","2021-05-19",36855.79,1765.74,35090.05,"Delivered","Cash on Delivery","Supplier Delivery",1
98,5023,"2021-05-09","2021-05-20",102217.15,10809.79,91407.35,"Delivered","Net 45","Sea Freight",3
99,5027,"2021-05-28","2021-06-13",209761.12,28390.26,181370.86,"Delivered","Net 30","Supplier Delivery",4
100,5015,"2021-05-26","2021-06-02",97927.58,4910.69,93016.89,"Delivered","Net 45","Supplier Delivery",1
101,5028,"2021-05-28","2021-06-05",22584.87,849.7,21735.17,"Delivered","50% Advance","Sea Freight",4
102,5026,"2021-05-26","2021-06-02",27591.44,1209.46,26381.98,"Shipped","Net 30","Air Freight",5
103,5027,"2021-05-26","2021-06-07",17166.45,692.85,16473.59,"Ordered","Net 30","Air Freight",4
104,5017,"2021-05-02","2021-05-12",74867.61,5077.94,69789.66,"Shipped","Net 45","Company Truck",3
105,5003,"2021-05-09","2021-05-29",134074.47,9366.11,124708.36,"Delivered","Net 15","Air Freight",5
106,5005,"2021-05-19","2021-06-15",103185.07,7965.07,95219.99,"Cancelled","Net 30","Sea Freight",8
107,5002,"2021-05-14","2021-05-25",42122.64,1329.87,40792.77,"Delivered","Cash on Delivery","Third Party Logistics",1
108,5026,"2021-05-01","2021-05-15",134977.99,9072.97,125905.01,"Shipped","Net 15","Company Truck",3
109,5002,"2021-05-09","2021-06-03",248325.38,21330.62,226994.76,"Delivered","50% Advance","Sea Freight",4
110,5027,"2021-05-25","2021-06-21",70922.96,3738.08,67184.88,"Cancelled","50% Advance","Third Party Logistics",9
111,5003,"2021-05-05","2021-05-18",284896.65,30673.03,254223.63,"Delivered","Net 45","Air Freight",7
112,5004,"2021-05-28","2021-06-21",125712.96,12121.1,113591.86,"Cancelled","Net 15","Air Freight",8
113,5012,"2021-06-14","2021-06-21",272234.96,13876.59,258358.37,"Ordered","Cash on Delivery","Third Party Logistics",6
114,5021,"2021-06-24","2021-07-19",241650.76,22664.87,218985.89,"Ordered","Net 15","Third Party Logistics",7
115,5021,"2021-06-24","2021-07-03",154871.26,8631.06,146240.2,"Ordered","Net 45","Air Freight",3
116,5004,"2021-06-04","2021-07-01",106818.35,5814.81,101003.54,"Shipped","Net 30","Third Party Logistics",3
117,5001,"2021-06-23","2021-07-20",374171.72,29575.52,344596.2,"Delivered","Cash on Delivery","Sea Freight",8
118,5027,"2021-06-10","2021-07-03",308406.78,20285.14,288121.64,"Ordered","Net 45","Third Party Logistics",1
119,5020,"2021-06-16","2021-07-07",104685.64,15393.72,89291.92,"Delivered","50% Advance","Sea Freight",2
120,5024,"2021-06-16","2021-07-07",308347.67,26868.58,281479.09,"Ordered","Net 30","Sea Freight",7
121,5014,"2021-06-18","2021-07-14",180339.17,12845.18,167493.99,"Delivered","Cash on Delivery","Company Truck",1
122,5005,"2021-06-03","2021-06-20",229331.42,34084.26,195247.16,"Delivered","50% Advance","Supplier Delivery",3
123,5028,"2021-06-09","2021-06-24",85145.72,3202.95,81942.77,"Delivered","Cash on Delivery","Company Truck",8
124,5010,"2021-06-01","2021-06-08",112734.11,11638.36,101095.75,"Ordered","Net 45","Company Truck",4
125,5018,"2021-06-18","2021-07-08",70829.39,3285.93,67543.47,"Shipped","Net 45","Sea Freight",8
126,5020,"2021-06-21","2021-07-08",123054.57,7999.59,115054.98,"Delivered","Net 15","Company Truck",4
127,5007,"2021-06-10","2021-07-02",51827.02,3286.32,48540.7,"Ordered","Net 30","Company Truck",9
128,5005,"2021-06-26","2021-07-18",4170.02,175.63,3994.39,"Shipped","Net 30","Air Freight",9
129,5024,"2021-06-12","2021-06-24",38423.13,326.92,38096.21,"Delivered","50% Advance","Sea Freight",9
130,5009,"2021-06-21","2021-07-05",266480.13,23429.48,243050.66,"Delivered","Net 15","Supplier Delivery",6
131,5027,"2021-07-07","2021-08-01",184243.78,13497.54,170746.23,"Shipped","Net 30","Supplier Delivery",7
132,5003,"2021-07-01","2021-07-23",296602.54,24579.75,272022.79,"Ordered","50% Advance","Sea Freight",2
133,5012,"2021-07-12","2021-07-19",1796.46,57.4,1739.06,"Ordered","Net 15","Air Freight",7
134,5008,"2021-07-06","2021-07-13",29326.26,893.26,28432.99,"Delivered","Cash on Delivery","Sea Freight",7
135,5007,"2021-07-03","2021-07-16",68991.59,5091.7,63899.9,"Ordered","50% Advance","Air Freight",3
136,5011,"2021-07-02","2021-07-19",17739.41,665.38,17074.03,"Ordered","Net 15","Third Party Logistics",3
137,5006,"2021-07-15","2021-08-09",214991.1,18831.33,196159.77,"Shipped","Net 45","Air Freight",3
138,5008,"2021-07-09","2021-07-26",148625.23,16885.45,131739.78,"Shipped","Net 30","Air Freight",1
139,5013,"2021-07-28","2021-08-24",4273.86,23.58,4250.27,"Shipped","Net 30","Air Freight",1
140,5013,"2021-07-04","2021-07-28",34306.84,1198.43,33108.41,"Ordered","Net 30","Company Truck",5
141,5011,"2021-07-13","2021-08-05",143610.01,18567.36,125042.65,"Delivered","Net 45","Air Freight",6
142,5003,"2021-07-12","2021-07-30",276836.32,22043.4,254792.92,"Cancelled","Cash on Delivery","Sea Freight",7
143,5003,"2021-07-04","2021-07-30",115329.67,14553.91,100775.77,"Shipped","Net 30","Company Truck",5
144,5003,"2021-07-07","2021-07-20",145946.93,11139.76,134807.18,"Shipped","50% Advance","Supplier Delivery",7
145,5019,"2021-07-13","2021-07-20",72764.14,4510.28,68253.86,"Delivered","Net 30","Company Truck",6
146,5016,"2021-07-02","2021-07-20",13343.41,547.97,12795.44,"Shipped","Net 45","Third Party Logistics",4
147,5029,"2021-07-18","2021-08-01",109044.04,13469.49,95574.56,"Ordered","Net 30","Sea Freight",6
148,5007,"2021-08-11","2021-09-06",29989.6,725.01,29264.58,"Delivered","Net 45","Third Party Logistics",4
149,5025,"2021-08-14","2021-08-23",52292.8,3027.71,49265.09,"Shipped","Net 15","Third Party Logistics",2
150,5013,"2021-08-03","2021-08-17",484050.63,33630.35,450420.28,"Shipped","Cash on Delivery","Company Truck",2
151,5018,"2021-08-08","2021-09-01",134957.72,18817.17,116140.55,"Delivered","Net 30","Air Freight",5
152,5008,"2021-08-03","2021-08-26",71366.53,5068.33,66298.21,"Delivered","Net 45","Air Freight",6
153,5006,"2021-08-06","2021-09-03",201525.58,26858.59,174666.99,"Shipped","Cash on Delivery","Air Freight",1
154,5012,"2021-08-10","2021-08-18",226169.02,14010.05,212158.96,"Delivered","Net 30","Air Freight",9
155,5029,"2021-08-22","2021-09-17",19563.15,7.45,19555.69,"Ordered","Cash on Delivery","Supplier Delivery",4
156,5007,"2021-08-04","2021-08-17",117936.59,8274.07,109662.51,"Delivered","Net 45","Company Truck",5
157,5011,"2021-08-27","2021-09-21",4754.34,37.94,4716.4,"Ordered","Net 45","Company Truck",9
158,5007,"2021-09-10","2021-10-03",163682.85,18266.44,145416.4,"Delivered","Net 15","Sea Freight",5
159,5001,"2021-09-05","2021-10-02",202733.25,27273.19,175460.06,"Ordered","Net 15","Air Freight",7
160,5010,"2021-09-14","2021-09-25",238347.87,24511.22,213836.66,"Cancelled","Net 45","Third Party Logistics",1
161,5025,"2021-09-21","2021-09-30",85528.52,6735.28,78793.24,"Ordered","Net 15","Sea Freight",7
162,5007,"2021-09-24","2021-10-05",51781.94,3058.93,48723.01,"Delivered","Cash on Delivery","Supplier Delivery",7
163,5004,"2021-09-10","2021-09-20",260888.68,19059.58,241829.1,"Shipped","Cash on Delivery","Air Freight",2
164,5001,"2021-09-18","2021-09-27",140554.24,20903.14,119651.1,"Ordered","Net 30","Company Truck",3
165,5025,"2021-09-24","2021-10-22",64788.49,3613.33,61175.16,"Shipped","Net 30","Third Party Logistics",7
166,5013,"2021-09-02","2021-09-27",125463.97,9216.43,116247.54,"Shipped","Net 15","Air Freight",8
167,5025,"2021-09-07","2021-10-01",142381.52,11151.4,131230.12,"Ordered","50% Advance","Supplier Delivery",2
168,5024,"2021-09-10","2021-09-23",11476.65,245.43,11231.22,"Delivered","Cash on Delivery","Supplier Delivery",9
169,5015,"2021-09-12","2021-10-10",41744.22,2004.56,39739.66,"Ordered","50% Advance","Third Party Logistics",8
170,5026,"2021-09-06","2021-09-18",148215.11,17353.23,130861.88,"Delivered","Net 30","Supplier Delivery",6
171,5001,"2021-09-03","2021-09-29",272486.35,19913.21,252573.15,"Delivered","Cash on Delivery","Air Freight",8
172,5010,"2021-09-17","2021-09-24",206210.85,14673.86,191536.99,"Delivered","Net 30","Sea Freight",8
173,5017,"2021-09-01","2021-09-22",255227.0,24034.25,231192.75,"Shipped","Cash on Delivery","Company Truck",7
174,5029,"2021-09-09","2021-10-03",165456.43,11441.73,154014.69,"Delivered","50% Advance","Company Truck",6
175,5021,"2021-09-17","2021-10-09",67887.71,2943.86,64943.85,"Ordered","Net 30","Third Party Logistics",2
176,5019,"2021-10-14","2021-11-04",369487.55,52608.03,316879.52,"Ordered","Cash on Delivery","Supplier Delivery",6
177,5014,"2021-10-20","2021-10-30",30388.86,255.61,30133.25,"Ordered","Net 30","Sea Freight",3
178,5021,"2021-10-12","2021-10-31",102606.03,7619.32,94986.71,"Delivered","Net 15","Supplier Delivery",4
179,5009,"2021-10-22","2021-11-05",118632.68,16690.16,101942.52,"Ordered","Net 30","Company Truck",4
180,5000,"2021-10-09","2021-10-25",23875.08,711.25,23163.83,"Ordered","50% Advance","Sea Freight",7
181,5026,"2021-10-07","2021-10-21",69359.12,4687.75,64671.37,"Shipped","Net 15","Air Freight",9
182,5011,"2021-10-21","2021-11-04",283718.21,18939.08,264779.12,"Delivered","Cash on Delivery","Sea Freight",8
183,5002,"2021-10-08","2021-10-20",273718.76,24394.18,249324.58,"Ordered","Net 45","Sea Freight",9
184,5016,"2021-10-26","2021-11-06",163804.77,20660.51,143144.26,"Ordered","50% Advance","Air Freight",4
185,5001,"2021-10-02","2021-10-13",49612.16,1257.3,48354.85,"Delivered","Net 45","Company Truck",4
186,5002,"2021-10-07","2021-10-19",324583.49,19205.18,305378.31,"Ordered","Cash on Delivery","Company Truck",5
187,5014,"2021-10-08","2021-10-19",386354.25,39162.41,347191.84,"Shipped","Net 15","Company Truck",4
188,5002,"2021-10-22","2021-11-04",245373.35,25737.87,219635.48,"Ordered","Cash on Delivery","Supplier Delivery",5
189,5018,"2021-10-13","2021-10-25",137679.07,7924.38,129754.69,"Shipped","Net 15","Company Truck",1
190,5021,"2021-10-01","2021-10-13",246596.9,26798.25,219798.65,"Ordered","Net 45","Company Truck",3
191,5021,"2021-10-27","2021-11-12",132932.59,15089.39,117843.21,"Ordered","50% Advance","Air Freight",7
192,5001,"2021-11-07","2021-11-18",73948.07,5239.59,68708.48,"Ordered","Net 30","Sea Freight",5
193,5004,"2021-11-02","2021-11-27",50916.78,2860.57,48056.21,"Delivered","Net 15","Air Freight",4
194,5017,"2021-11-24","2021-12-06",13025.68,478.12,12547.56,"Delivered","Cash on Delivery","Supplier Delivery",7
195,5006,"2021-11-19","2021-12-10",412683.57,55143.15,357540.42,"Delivered","50% Advance","Sea Freight",5
196,5024,"2021-11-27","2021-12-17",87530.32,6064.05,81466.27,"Delivered","Cash on Delivery","Third Party Logistics",5
197,5029,"2021-11-06","2021-11-15",23273.41,1029.87,22243.54,"Shipped","Net 45","Third Party Logistics",5
198,5021,"2021-11-07","2021-11-14",49010.3,1413.32,47596.98,"Delivered","Net 30","Air Freight",6
199,5006,"2021-11-06","2021-11-25",282211.87,37229.54,244982.33,"Delivered","Net 45","Supplier Delivery",8
200,5001,"2021-11-24","2021-12-16",246801.82,20759.04,226042.78,"Delivered","Cash on Delivery","Supplier Delivery",6
201,5009,"2021-11-21","2021-12-01",160908.7,20556.66,140352.05,"Ordered","50% Advance","Sea Freight",6
202,5029,"2021-11-06","2021-11-27",21726.16,129.75,21596.41,"Shipped","Net 15","Company Truck",6
203,5017,"2021-11-22","2021-12-07",95835.8,7486.52,88349.27,"Ordered","Net 30","Air Freight",2
204,5001,"2021-11-01","2021-11-27",162639.87,15126.92,147512.95,"Cancelled","Cash on Delivery","Third Party Logistics",6
205,5017,"2021-11-26","2021-12-18",86403.51,6584.0,79819.51,"Delivered","Net 30","Air Freight",8
206,5007,"2021-11-06","2021-11-13",10284.31,175.13,10109.18,"Ordered","Cash on Delivery","Third Party Logistics",2
207,5008,"2021-11-14","2021-11-22",241618.78,27315.04,214303.74,"Delivered","Net 45","Sea Freight",4
208,5027,"2021-11-13","2021-11-25",38667.16,628.25,38038.91,"Delivered","Net 45","Supplier Delivery",6
209,5010,"2021-11-05","2021-11-12",51534.17,1942.91,49591.26,"Shipped","Cash on Delivery","Company Truck",8
210,5006,"2021-11-10","2021-11-26",171034.73,17192.97,153841.76,"Delivered","50% Advance","Company Truck",4
211,5023,"2021-11-22","2021-12-02",223674.71,19500.51,204174.21,"Delivered","Net 15","Sea Freight",9
212,5021,"2021-12-06","2021-12-13",258386.55,37746.78,220639.76,"Ordered","50% Advance","Air Freight",8
213,5027,"2021-12-25","2022-01-18",160070.69,20754.08,139316.61,"Delivered","50% Advance","Air Freight",8
214,5007,"2021-12-07","2021-12-30",224271.14,31963.81,192307.32,"Ordered","50% Advance","Sea Freight",5
215,5012,"2021-12-23","2022-01-20",405908.24,30503.54,375404.7,"Delivered","50% Advance","Air Freight",3
216,5008,"2021-12-13","2022-01-01",12955.4,129.75,12825.65,"Delivered","Net 30","Company Truck",1
217,5013,"2021-12-02","2021-12-11",42447.05,1036.01,41411.04,"Cancelled","50% Advance","Supplier Delivery",2
218,5025,"2021-12-15","2022-01-06",36475.56,1052.88,35422.68,"Delivered","Net 15","Air Freight",4
219,5007,"2021-12-27","2022-01-07",167152.05,22153.54,144998.51,"Delivered","Net 30","Company Truck",9
220,5008,"2021-12-19","2022-01-06",262020.11,36516.75,225503.36,"Delivered","Net 30","Company Truck",8
221,5024,"2021-12-20","2021-12-30",334719.88,31958.82,302761.06,"Shipped","Net 15","Third Party Logistics",3
222,5008,"2021-12-24","2022-01-21",212357.18,23666.53,188690.65,"Delivered","Net 15","Supplier Delivery",7
223,5006,"2021-12-24","2022-01-06",27135.15,185.94,26949.21,"Delivered","Net 45","Supplier Delivery",6
